Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,14.835346803839585,14.980194430393471,14.081142463306268,14.299911499023438,401277000,0.0,0.0
2023-01-04 00:00:00-05:00,14.551646376160297,14.837344223249879,14.22598977559171,14.733453750610352,431324000,0.0,0.0
2023-01-05 00:00:00-05:00,14.475724399761354,14.548647400640538,14.13308556373845,14.24996280670166,389168000,0.0,0.0
2023-01-06 00:00:00-05:00,14.45874173703761,14.994176946626181,14.019205996590792,14.84333610534668,405044000,0.0,0.0
2023-01-09 00:00:00-05:00,15.267888310654865,16.03907384357529,15.125038456294371,15.611525535583496,504231000,0.0,0.0
2023-01-10 00:00:00-05:00,15.490654302177573,15.945174618132851,15.455691347514714,15.892230987548828,384101000,0.0,0.0
2023-01-11 00:00:00-05:00,15.823301290137104,16.01110282220087,15.546592882587277,15.984130859375,353285000,0.0,0.0
2023-01-12 00:00:00-05:00,16.083029067309738,16.619461755576417,15.47566921706697,16.493595123291016,551409000,0.0,0.0
2023-01-13 00:00:00-05:00,16.260839889557317,16.904162001817628,16.147960048723682,16.88118553161621,447287000,0.0,0.0
2023-01-17 00:00:00-05:00,16.881185193204846,17.709311731541334,16.881185193204846,17.683338165283203,511102000,0.0,0.0
2023-01-18 00:00:00-05:00,17.648375934651437,17.854158152300805,17.263781558432793,17.35868263244629,439624000,0.0,0.0
2023-01-19 00:00:00-05:00,17.018042058487556,17.17887355641003,16.713365152180454,16.74732780456543,452932000,0.0,0.0
2023-01-20 00:00:00-05:00,16.99306612778277,17.83717652058434,16.807263297293154,17.820194244384766,564967000,0.0,0.0
2023-01-23 00:00:00-05:00,18.044958004082773,19.2247147792948,17.799218927189443,19.17276954650879,655163000,0.0,0.0
2023-01-24 00:00:00-05:00,18.80715009789059,19.47444698992979,18.800157508572912,19.244688034057617,496204000,0.0,0.0
2023-01-25 00:00:00-05:00,18.89305998212653,19.349578895083795,18.560410883731777,19.302627563476562,449537000,0.0,0.0
2023-01-26 00:00:00-05:00,19.680230760238217,20.14474069411191,19.257676365647274,19.781124114990234,489535000,0.0,0.0
2023-01-27 00:00:00-05:00,19.441482734234384,20.606253883767415,19.384543617188243,20.343530654907227,542142000,0.0,0.0
2023-01-30 00:00:00-05:00,19.92897130354372,20.118769651142287,19.12981344690093,19.141801834106445,488611000,0.0,0.0
2023-01-31 00:00:00-05:00,19.14979328260832,19.66624851924581,18.930025867048208,19.516407012939453,498017000,0.0,0.0
2023-02-01 00:00:00-05:00,19.670242250628736,21.169659387182808,19.590326660737446,20.920923233032227,660477000,0.0,0.0
2023-02-02 00:00:00-05:00,20.977861172359162,21.925860113730366,20.6781782034606,21.686113357543945,564276000,0.0,0.0
2023-02-03 00:00:00-05:00,20.977865716692563,21.722081314990728,20.76708767150065,21.077760696411133,429366000,0.0,0.0
2023-02-06 00:00:00-05:00,20.784064158457067,21.5472586184604,20.764084787014387,21.0667667388916,452197000,0.0,0.0
2023-02-07 00:00:00-05:00,21.359459276744385,22.235535559887833,21.12770349826597,22.149625778198242,664150000,0.0,0.0
2023-02-08 00:00:00-05:00,22.363402219773526,22.85388581150765,21.984801992541126,22.181594848632812,559651000,0.0,0.0
